# MiniMax-H3 官方 t2v 示例清单 —— 批量生成的权威数据源
# 宽高比由 ffprobe 探测官方成片得到；prompt 正文里基本没写，不要臆测
# 字段: case<TAB>duration<TAB>aspect<TAB>width<TAB>height<TAB>id<TAB>title<TAB>tag
case	duration	aspect	width	height	id	title	tag
海边悬崖的最后一朵花-15s	15	16:9	1344	768	01	海边悬崖的最后一朵花	故事
微型机械蜂的桌面冒险-15s	15	16:9	1344	768	02	微型机械蜂的桌面冒险	FPV
极冬剑皇-冰火斩-15s	15	16:9	1344	768	03	极冬剑皇 · 冰火斩	CG
观星阁的发光灵蝶-15s	15	16:9	1344	768	04	观星阁的发光灵蝶	实验影像
穿越虫洞的宇航员-15s	15	16:9	1344	768	05	穿越虫洞的宇航员	科幻
顾少，我们完了-15s	15	16:9	1344	768	06	顾少，我们完了	喜剧
CYBER-QUEEN-15s	15	16:9	1344	768	07	CYBER QUEEN	MV
战地破晓-15s	15	16:9	1344	768	08	战地破晓	人像
今晚早点休息-15s	15	16:9	1344	768	09	今晚早点休息	Vlog
好好喝汽水-15s	15	16:9	1344	768	10	好好喝汽水	广告
穿过峡谷的柠檬-15s	15	16:9	1344	768	11	穿过峡谷的柠檬	创意
夏日美妆教程-15s	15	9:16	768	1344	12	夏日美妆教程	生活
桃子麻薯与小猫-15s	15	16:9	1344	768	13	桃子麻薯与小猫	治愈
猫咪漂流记-15s	15	16:9	1344	768	14	猫咪漂流记	喜剧
失重舞者-15s	15	9:16	768	1344	15	失重舞者	实验
Y2K-梦境爱豆-15s	15	16:9	1344	768	16	Y2K 梦境爱豆	MV
时间冻结的街景-11s	11	16:9	1344	768	seedance-006	时间冻结的街景	奇幻
飞越古伦敦-10s	10	16:9	1344	768	seedance-014	飞越古伦敦	旅行
世界武术对决-10s	10	16:9	1344	768	seedance-015	世界武术对决	动作
猫咪科技战争-15s	15	16:9	1344	768	seedance-020	猫咪科技战争	科幻
咖啡馆的一天-15s	15	16:9	1344	768	seedance-027	咖啡馆的一天	生活
会说话的番茄-12s	12	16:9	1344	768	seedance-077	会说话的番茄	动画
万物组装的机械巨兽-10s	10	16:9	1344	768	seedance-079	万物组装的机械巨兽	变形
雪山上的雪豹-10s	10	16:9	1344	768	seedance-218	雪山上的雪豹	纪录片
广州晨昏群像-10s	10	16:9	1344	768	seedance-230	广州晨昏群像	城市
机械腕表的精密解构-10s	10	9:16	768	1344	seedance-252	机械腕表的精密解构	产品
雪崩追逐山口列车-10s	10	16:9	1344	768	seedance-300	雪崩追逐山口列车	大片
